text,label
i started glee from the beginning n i'm crying they were such babies i love my children,joy
Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya  #bwahaha,anger
@TChudhry @fasiranjha lol @ ur caste. even if the whole village dies.. a massali like you cant be a chaudhry:) so cheer up massali :),joy
Ready for my sweet princess to arrive. I'll he 37 weeks this Saturday! #excited ,fear
It's so gloomy outside. I wish it was as cold as it looked,sadness
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep ",anger
"@donna_bellav @SoniaRayS @gig_aholic He looks especially lovely. Sadly, I do not *removes potentially indignant Mr D from convo*",anger
@DuncM1981 @pmallon72 At the risk of being blocked I thought that video from the wake was hilarious.,joy
Watched tna for the first time in a long time what the hell happened to the #hardyboys #impactonpop #wwe #terrible,fear
"@coalese 😂😂😂. Sure half these stars get together,break up,have affairs,let porn vids slip out,fight,ect etc all to up there ratings. #sad 😂",sadness
@LondonMidland #dobetter only two carriages on 14:49 Birmingham to Hereford no room to stand anymore Friday commute #unhappy,sadness
Haven't gotten one hour of sleep... Today is going to be a fun day 😐 ,fear
@wwcummings @USATODAY this individual is clearly trying 2 #intimidate this #LEO I see an issue here. STOP CAUSING ISSUES by pushing limits!!,fear
"If I were assured of your eventual destruction I would, in the interests of the public, cheerfully accept my own.' -Sherlock Holmes-",joy
"@EllenMellon_88 Got #mybrokenfoot running Great North Run, can't wait to run again in a few months time - be mostly dark then! #ukrunchat",sadness
never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,anger
The best revenge is massive success. –Frank Sinatra,anger
"@ynnsanity Maybe that's why, we're asked to study hard and get a job that we like. That way it wouldn't be that dreadful.",fear
Very long day. Thank goodness for Bake Off to brighten up a weary Wednesday ☺ #GBBO,sadness
@KatieBurnett ha freshers blues would love to re do all again ... ha nice tshirt .. vote for Pedro,sadness
We Are Source!!\n\n#mindset #philosophy #thoughtsbecomethings #news #lifehacks #fear #you #LIFE #PleaseRT #ProblemSolving,fear
"Big up @dj_argue, did I miss phantom dread syndrome by @GenesisElijah? dudes sick.",fear
@xandraaa5 @amayaallyn6 shut up hashtags are cool ,anger
@doctorofinfo I was just introducing a little levity to the convo. Yep!,joy
